"Product title","Net sales","Quantity ordered"
"AR756 Thermofoil Cabinet Door",61560.09,841
"DRS131 Thermofoil Cabinet Door (Shaker Style)",21644.13,194
"FS842 Thermofoil Cabinet Door",14112.28,155
"DSS218 Thermofoil Cabinet Door (Shallow Shaker Style)",7722.64,76
"DR1 Thermofoil Cabinet Door (Artesia Style)",6364.04,53
"Thermofoil Plank (Tacoma Style) Cabinet Door (DBQ)",5581.3,57
"JR7 Thermofoil Cabinet Door (Revere Style)",4415.12,40
"DR133 Thermofoil Cabinet Door (Victoria Style)",4285.77,37
"DR8 Thermofoil Cabinet Door",3261.32,40
"AR766 Thermofoil Cabinet Door",2457.58,21
"FC714 Thermofoil Cabinet Door",1614.91,33
"FC712 Thermofoil Cabinet Door",1388.32,25
"DR31 Thermofoil Cabinet Door",1381.54,15
"FR556 Thermofoil Cabinet Door",1297.29,13
"KB732 Thermofoil Cabinet Door",822.89,14
"DT223 Thermofoil Cabinet Door (Shallow Artesia Style)",821.09,7
"DP8 Thermofoil Cabinet Door",806.47,12
"AP768 Thermofoil Cabinet Door",699.85,7
"JL7 Thermofoil Cabinet Door (Liberty Style)",650.66,9
"RR980 Thermofoil (Adobe Style) Cabinet Door",601.56,5
"FC716 Thermofoil Cabinet Door",501.12,7
"DN917 Thermofoil Cabinet Door (Skinny Shaker Style)",480.92,5
"LR981 Thermofoil (Mission Style) Cabinet Door",308.96,3
"AL757 Thermofoil Cabinet Door",196.76,4
"FS742 Thermofoil Cabinet Door",158.32,2
"FS744 Thermofoil Cabinet Door",124.39,2
"FS746 Thermofoil Cabinet Door",62.86,1
