"Product title","Net sales","Quantity ordered"
"Shaker Cabinet Door",234515.15,3997
"Revere Cabinet Door",92627.76,1310
"Alpine Cabinet Door",38402.16,546
"Adobe Cabinet Door",30266.78,602
"3/4"" Heritage Cabinet Door",29996.53,396
"Custom Cabinet Door",29761.99,275
"Liberty Cabinet Door",27321.81,354
"Arcadia Cabinet Door",26010.34,273
"True Louver Cabinet Door",20510.2,73
"Aries Cabinet Door",16424.18,144
"Oakley Cabinet Door",14322.85,194
"Harmony Cabinet Door",12968.66,126
"Tacoma Cabinet Door (Plank Style)",11638.76,116
"Artesia Cabinet Door",10493.21,119
"Sawyer Cabinet Door",9209.4,28
"Journey Cabinet Door",8735.54,47
"Mitchell Cabinet Door",8364.96,132
"Owen Cabinet Door",7937.78,77
"Camden Cabinet Door",7894.85,128
"Newbury Cabinet Door",7500.6,96
"Nolan Cabinet Door",6878.28,106
"Durango Cabinet Door",6404.13,86
"Chapman Cabinet Door",5926.57,50
"Talbot Cabinet Door",5717.96,30
"Patriot Cabinet Door",5697.68,63
"Mission Cabinet Door",5259.81,97
"Indiana Cabinet Door",5200.56,54
"Estrella Cabinet Door",4539.99,83
"Graham Cabinet Door",4217.08,59
"Monterey Cabinet Door",3960.8,70
"Tuscany Cabinet Door",3361.14,17
"Auburn Cabinet Door",3327.51,48
"Cabrillo Cabinet Door",3303.46,15
"Eldridge Cabinet Door",3016.2,31
"Bronco Cabinet Door",2891.07,61
"Manhattan Cabinet Door",2745.78,27
"Delaware Cabinet Door",2673.36,24
"Eagle Cabinet Door",2610.97,46
"Jasper Cabinet Door",2606.52,70
"Wilmington Cabinet Door",2591.11,35
"Trenton Cabinet Door",2512.91,24
"Victoria Cabinet Door",2377.04,39
"Emerson Cabinet Door",1950.88,21
"Isabella Cabinet Door",1926.25,37
"Georgia Cabinet Door",1866.34,20
"Cascade Cabinet Door",1817.63,39
"Taylor Cabinet Door",1720.21,13
"Brighton Cabinet Door",1686.42,17
"Century Cabinet Door",1612.81,24
"Laredo Cabinet Door",1491.19,8
"Pinnacle Cabinet Door",1404.64,11
"Josephine Cabinet Door",1239.58,13
"Dylan Cabinet Door",1138.57,21
"Terracina Cabinet Door",1106.54,21
"Freedom Cabinet Door",1057.79,11
"Connecticut Cabinet Door",1052.63,15
"Malibu Cabinet Door",979.6,9
"Sheffield Cabinet Door",916.15,12
"Sullivan Cabinet Door",906.48,10
"Cougar Cabinet Door",887.03,19
"Laguna Cabinet Door",797.95,5
"Prudential Cabinet Door",784.72,4
"Vienna Cabinet Door",747.88,4
"Mitered Adobe Cabinet Door",704.48,5
"Executive Cabinet Door",693.02,6
"Revere Mitered Cabinet Door",685.5,13
"Fiesta Cabinet Door",618.74,5
"San Marino Cabinet Door",503.4,6
"Normandie Cabinet Door",464.01,9
"7/8"" Maverick Cabinet Door",435.11,6
"Campbell Cabinet Door",360.41,8
"Frontier Cabinet Door",227.68,2
"Easton Cabinet Door",224.33,1
"Hamilton Cabinet Door",202.14,2
"Zion Cabinet Door",147.42,2
"Islander Cabinet Door",146.84,2
"Kennedy Cabinet Door",84.34,3
"Glacier Cabinet Door",38.98,1
"Hayes Cabinet Door",0,1
