"Product title","Net sales","Quantity ordered"
"Shaker Drawer Front",47105.45,1521
"Revere Drawer Front",10622.44,257
"Alpine Drawer Front",9531.08,250
"Harmony Drawer Front",5520.83,93
"Tacoma Drawer Front (Plank Style)",5121.94,135
"Heritage Drawer Front",4420.13,120
"Custom Drawer Front",4382.26,67
"Mission Drawer Front",3500.99,86
"Adobe Drawer Front",3474.8,103
"Journey Drawer Front",3040.01,57
"Arcadia Drawer Front",2706.04,64
"Freedom Drawer Front",2060.6,51
"Mitchell Drawer Front",1940.68,39
"Cascade Drawer Front",1893.29,48
"Sawyer Drawer Front",1686.98,13
"Artesia Drawer Front",1583.07,46
"Indiana Drawer Front",1471.58,28
"Owen Drawer Front",1469.2,26
"Oakley Drawer Front",1453.5,40
"Delaware Drawer Front",1259.5,17
"Newbury Drawer Front",1216.4,24
"Eldridge Drawer Front",1029.48,19
"Aries Drawer Front",1005.25,36
"Manhattan Routed Drawer Front",937.33,12
"Isabella Drawer Front",878.19,18
"Century Drawer Front",753.02,10
"Graham Drawer Front",734.42,22
"Durango Drawer Front",727,17
"Liberty Drawer Front",704.1,11
"Josephine Drawer Front",648.14,10
"Pinnacle Drawer Front",640.63,7
"Mitered Adobe Drawer Front",610.83,11
"Nolan Drawer Front",591.48,18
"Estrella Drawer Front",497.51,11
"Chapman Drawer Front",485.28,11
"Camden Drawer Front",478.3,12
"Trenton Drawer Front",473.25,15
"Tuscany Drawer Front",426.99,10
"Auburn Drawer Front (Plank Style)",421.7,7
"Sullivan Drawer Front",345.08,7
"Wilmington Drawer Front",336.36,8
"Sheffield Drawer Front",294.75,6
"Monterey Drawer Front",274.31,8
"Bronco Drawer Front",273.16,6
"Brighton Drawer Front",235.73,4
"Vienna Drawer Front",226.45,5
"Emerson Wood Veneer Drawer Front",183.16,4
"Woodhaven Drawer Front",181.08,3
"Terracina Drawer Front",169.52,6
"Eagle Drawer Front",148.16,5
"7/8"" Maverick Drawer Front",132.2,3
"Saratoga Drawer Front",129.27,2
"Georgia Drawer Front",110.55,3
"Manhattan Drawer Front",90.15,1
"Revere Mitered Drawer Front",86.38,2
"Cougar Drawer Front",85,3
"Islander Drawer Front",84.62,2
"Malibu Drawer Front",81.44,2
"Normandie Drawer Front",57,2
"Dylan Drawer Front",56.76,1
"Flagstaff Drawer Front (Plank Style)",47.28,1
"Connecticut Drawer Front",41.06,1
"Solana Drawer Front",0,1
"Jasper Drawer Front",0,7
